品名,最低价,平均价,最高价,产地,单位
百香果,9.0,10.0,11.0,未知,斤
人参果,8.0,9.0,10.0,未知,斤
九九草莓,6.0,8.0,10.0,未知,斤
杨梅,10.0,14.0,18.0,未知,斤
蓝莓,20.0,30.0,40.0,未知,斤
火龙果,4.0,6.0,8.0,未知,斤
火龙果,4.0,4.75,5.5,未知,斤
木瓜,4.5,5.0,5.5,未知,斤
桑葚,6.0,6.5,7.0,未知,斤
桑葚,6.0,7.5,9.0,未知,斤
柠檬,6.0,7.0,8.0,未知,斤
姑娘果（灯笼果）,15.0,16.5,18.0,未知,斤
鸭梨,1.9,2.05,2.2,未知,斤
雪花梨,1.8,1.9,2.0,未知,斤
皇冠梨,3.1,3.45,3.8,未知,斤
丰水梨,3.5,3.6,3.7,未知,斤
酥梨,2.7,2.75,2.8,未知,斤
库尔勒香梨,3.5,4.5,5.5,未知,斤
红香酥梨,2.8,2.9,3.0,未知,斤
秋月梨,3.5,3.75,4.0,未知,斤
丑橘,4.0,4.5,5.0,未知,斤
沃柑(贵妃柑),2.5,3.5,4.5,未知,斤
伦晚脐橙,3.0,4.0,5.0,未知,斤
耙耙柑,6.5,7.4,8.3,未知,斤
油桃,4.0,8.5,13.0,未知,斤
蟠桃,8.5,11.25,14.0,未知,斤
水蜜桃,12.0,14.0,16.0,未知,斤
春雪,7.5,10.25,13.0,未知,斤
黄油桃,6.0,10.0,14.0,未知,斤
突围,3.7,5.1,6.5,未知,斤
黄油蟠,12.0,14.0,16.0,未知,斤
猕猴桃（徐香）,6.0,6.5,7.0,未知,斤
李子,8.0,9.5,11.0,未知,斤
白杏,3.0,3.5,4.0,未知,斤
丰园红杏,4.0,4.15,4.3,未知,
秦杏,4.2,4.85,5.5,未知,斤
金太阳杏,2.0,2.5,3.0,未知,斤
胭脂红杏,4.0,4.75,5.5,未知,斤
无籽小号-大号,1.3,1.35,1.4,未知,斤
麒麟,2.0,2.4,2.8,未知,斤
特小凤,2.5,2.55,2.6,未知,斤
L600吊秧瓜,2.0,2.1,2.2,未知,斤
甜王,1.0,1.1,1.2,未知,斤
蜜童,1.4,1.6,1.8,未知,斤
8424西瓜,1.8,1.9,2.0,未知,斤
国产香蕉,4.1,4.2,4.3,未知,斤
进口香蕉,4.6,4.9,5.2,未知,斤
泰国香蕉,12.0,13.0,14.0,未知,斤
苹果蕉,5.0,5.25,5.5,未知,斤
晓蜜25号,1.9,2.2,2.5,未知,斤
久红瑞／金蜜,1.8,2.15,2.5,未知,斤
玉菇,2.1,2.3,2.5,未知,斤
红金蜜,2.0,2.1,2.2,未知,斤
网纹,3.0,4.0,5.0,未知,斤
景甜甜瓜,3.0,3.25,3.5,未知,斤
24／白糖罐,2.0,2.5,3.0,未知,斤
羊角蜜,2.0,2.65,3.3,未知,斤
花蕾甜瓜,2.0,2.75,3.5,未知,斤
绿宝甜瓜,2.0,2.75,3.5,未知,斤
博阳,2.0,2.75,3.5,未知,斤
甜墩墩,3.0,3.1,3.2,未知,斤
富士,4.2,4.85,5.5,未知,斤
富士,3.4,3.5,3.6,未知,斤
富士,5.5,5.75,6.0,未知,斤
黄元帅,3.5,4.0,4.5,未知,斤
花牛,3.0,4.25,5.5,未知,斤
阳光玫瑰,18.0,26.5,35.0,未知,斤
红提葡萄,8.0,10.0,12.0,未知,斤
玫瑰香,11.0,11.5,12.0,未知,斤
夏黑葡萄,9.0,10.5,12.0,未知,斤
郁金香(茉莉香)葡萄,11.0,13.0,15.0,未知,斤
巨丰葡萄,13.0,16.5,20.0,未知,斤
淅江巨峰,6.5,7.0,7.5,未知,斤
